"""customer_id""","""store_id""","""first_name""","""last_name""","""email""","""address_id""","""active""",[
14,2," ""BETTY"""," ""WHITE"""," ""BETTY.WHITE@sakilacustomer.org""",18,1,"{""customer_id"":14,""store_id"":2,""first_name"": ""BETTY"",""last_name"": ""WHITE"",""email"": ""BETTY.WHITE@sakilacustomer.org"",""address_id"":18,""active"":1},"
15,1," ""HELEN"""," ""HARRIS"""," ""HELEN.HARRIS@sakilacustomer.org""",19,1,"{""customer_id"":15,""store_id"":1,""first_name"": ""HELEN"",""last_name"": ""HARRIS"",""email"": ""HELEN.HARRIS@sakilacustomer.org"",""address_id"":19,""active"":1},"
16,2," ""SANDRA"""," ""MARTIN"""," ""SANDRA.MARTIN@sakilacustomer.org""",20,0,"{""customer_id"":16,""store_id"":2,""first_name"": ""SANDRA"",""last_name"": ""MARTIN"",""email"": ""SANDRA.MARTIN@sakilacustomer.org"",""address_id"":20,""active"":0},"
17,1," ""DONNA"""," ""THOMPSON"""," ""DONNA.THOMPSON@sakilacustomer.org""",21,1,"{""customer_id"":17,""store_id"":1,""first_name"": ""DONNA"",""last_name"": ""THOMPSON"",""email"": ""DONNA.THOMPSON@sakilacustomer.org"",""address_id"":21,""active"":1},"
18,2," ""CAROL"""," ""GARCIA"""," ""CAROL.GARCIA@sakilacustomer.org""",22,1,"{""customer_id"":18,""store_id"":2,""first_name"": ""CAROL"",""last_name"": ""GARCIA"",""email"": ""CAROL.GARCIA@sakilacustomer.org"",""address_id"":22,""active"":1},"
19,1," ""RUTH"""," ""MARTINEZ"""," ""RUTH.MARTINEZ@sakilacustomer.org""",23,1,"{""customer_id"":19,""store_id"":1,""first_name"": ""RUTH"",""last_name"": ""MARTINEZ"",""email"": ""RUTH.MARTINEZ@sakilacustomer.org"",""address_id"":23,""active"":1},"
20,2," ""SHARON"""," ""ROBINSON"""," ""SHARON.ROBINSON@sakilacustomer.org""",24,1,"{""customer_id"":20,""store_id"":2,""first_name"": ""SHARON"",""last_name"": ""ROBINSON"",""email"": ""SHARON.ROBINSON@sakilacustomer.org"",""address_id"":24,""active"":1},"
21,1," ""MICHELLE"""," ""CLARK"""," ""MICHELLE.CLARK@sakilacustomer.org""",25,1,"{""customer_id"":21,""store_id"":1,""first_name"": ""MICHELLE"",""last_name"": ""CLARK"",""email"": ""MICHELLE.CLARK@sakilacustomer.org"",""address_id"":25,""active"":1},"
22,1," ""LAURA"""," ""RODRIGUEZ"""," ""LAURA.RODRIGUEZ@sakilacustomer.org""",26,1,"{""customer_id"":22,""store_id"":1,""first_name"": ""LAURA"",""last_name"": ""RODRIGUEZ"",""email"": ""LAURA.RODRIGUEZ@sakilacustomer.org"",""address_id"":26,""active"":1},"
23,2," ""SARAH"""," ""LEWIS"""," ""SARAH.LEWIS@sakilacustomer.org""",27,1,"{""customer_id"":23,""store_id"":2,""first_name"": ""SARAH"",""last_name"": ""LEWIS"",""email"": ""SARAH.LEWIS@sakilacustomer.org"",""address_id"":27,""active"":1},"
24,2," ""KIMBERLY"""," ""LEE"""," ""KIMBERLY.LEE@sakilacustomer.org""",28,1,"{""customer_id"":24,""store_id"":2,""first_name"": ""KIMBERLY"",""last_name"": ""LEE"",""email"": ""KIMBERLY.LEE@sakilacustomer.org"",""address_id"":28,""active"":1},"
25,1," ""DEBORAH"""," ""WALKER"""," ""DEBORAH.WALKER@sakilacustomer.org""",29,1,"{""customer_id"":25,""store_id"":1,""first_name"": ""DEBORAH"",""last_name"": ""WALKER"",""email"": ""DEBORAH.WALKER@sakilacustomer.org"",""address_id"":29,""active"":1},"
26,2," ""JESSICA"""," ""HALL"""," ""JESSICA.HALL@sakilacustomer.org""",30,1,"{""customer_id"":26,""store_id"":2,""first_name"": ""JESSICA"",""last_name"": ""HALL"",""email"": ""JESSICA.HALL@sakilacustomer.org"",""address_id"":30,""active"":1},"
27,2," ""SHIRLEY"""," ""ALLEN"""," ""SHIRLEY.ALLEN@sakilacustomer.org""",31,1,"{""customer_id"":27,""store_id"":2,""first_name"": ""SHIRLEY"",""last_name"": ""ALLEN"",""email"": ""SHIRLEY.ALLEN@sakilacustomer.org"",""address_id"":31,""active"":1},"
28,1," ""CYNTHIA"""," ""YOUNG"""," ""CYNTHIA.YOUNG@sakilacustomer.org""",32,1,"{""customer_id"":28,""store_id"":1,""first_name"": ""CYNTHIA"",""last_name"": ""YOUNG"",""email"": ""CYNTHIA.YOUNG@sakilacustomer.org"",""address_id"":32,""active"":1},"
29,2," ""ANGELA"""," ""HERNANDEZ"""," ""ANGELA.HERNANDEZ@sakilacustomer.org""",33,1,"{""customer_id"":29,""store_id"":2,""first_name"": ""ANGELA"",""last_name"": ""HERNANDEZ"",""email"": ""ANGELA.HERNANDEZ@sakilacustomer.org"",""address_id"":33,""active"":1},"
30,1," ""MELISSA"""," ""KING"""," ""MELISSA.KING@sakilacustomer.org""",34,1,"{""customer_id"":30,""store_id"":1,""first_name"": ""MELISSA"",""last_name"": ""KING"",""email"": ""MELISSA.KING@sakilacustomer.org"",""address_id"":34,""active"":1},"
31,2," ""BRENDA"""," ""WRIGHT"""," ""BRENDA.WRIGHT@sakilacustomer.org""",35,1,"{""customer_id"":31,""store_id"":2,""first_name"": ""BRENDA"",""last_name"": ""WRIGHT"",""email"": ""BRENDA.WRIGHT@sakilacustomer.org"",""address_id"":35,""active"":1},"
32,1," ""AMY"""," ""LOPEZ"""," ""AMY.LOPEZ@sakilacustomer.org""",36,1,"{""customer_id"":32,""store_id"":1,""first_name"": ""AMY"",""last_name"": ""LOPEZ"",""email"": ""AMY.LOPEZ@sakilacustomer.org"",""address_id"":36,""active"":1},"
33,2," ""ANNA"""," ""HILL"""," ""ANNA.HILL@sakilacustomer.org""",37,1,"{""customer_id"":33,""store_id"":2,""first_name"": ""ANNA"",""last_name"": ""HILL"",""email"": ""ANNA.HILL@sakilacustomer.org"",""address_id"":37,""active"":1},"
34,2," ""REBECCA"""," ""SCOTT"""," ""REBECCA.SCOTT@sakilacustomer.org""",38,1,"{""customer_id"":34,""store_id"":2,""first_name"": ""REBECCA"",""last_name"": ""SCOTT"",""email"": ""REBECCA.SCOTT@sakilacustomer.org"",""address_id"":38,""active"":1},"
35,2," ""VIRGINIA"""," ""GREEN"""," ""VIRGINIA.GREEN@sakilacustomer.org""",39,1,"{""customer_id"":35,""store_id"":2,""first_name"": ""VIRGINIA"",""last_name"": ""GREEN"",""email"": ""VIRGINIA.GREEN@sakilacustomer.org"",""address_id"":39,""active"":1},"
36,2," ""KATHLEEN"""," ""ADAMS"""," ""KATHLEEN.ADAMS@sakilacustomer.org""",40,1,"{""customer_id"":36,""store_id"":2,""first_name"": ""KATHLEEN"",""last_name"": ""ADAMS"",""email"": ""KATHLEEN.ADAMS@sakilacustomer.org"",""address_id"":40,""active"":1},"
37,1," ""PAMELA"""," ""BAKER"""," ""PAMELA.BAKER@sakilacustomer.org""",41,1,"{""customer_id"":37,""store_id"":1,""first_name"": ""PAMELA"",""last_name"": ""BAKER"",""email"": ""PAMELA.BAKER@sakilacustomer.org"",""address_id"":41,""active"":1},"
38,1," ""MARTHA"""," ""GONZALEZ"""," ""MARTHA.GONZALEZ@sakilacustomer.org""",42,1,"{""customer_id"":38,""store_id"":1,""first_name"": ""MARTHA"",""last_name"": ""GONZALEZ"",""email"": ""MARTHA.GONZALEZ@sakilacustomer.org"",""address_id"":42,""active"":1},"
39,1," ""DEBRA"""," ""NELSON"""," ""DEBRA.NELSON@sakilacustomer.org""",43,1,"{""customer_id"":39,""store_id"":1,""first_name"": ""DEBRA"",""last_name"": ""NELSON"",""email"": ""DEBRA.NELSON@sakilacustomer.org"",""address_id"":43,""active"":1},"
40,2," ""AMANDA"""," ""CARTER"""," ""AMANDA.CARTER@sakilacustomer.org""",44,1,"{""customer_id"":40,""store_id"":2,""first_name"": ""AMANDA"",""last_name"": ""CARTER"",""email"": ""AMANDA.CARTER@sakilacustomer.org"",""address_id"":44,""active"":1},"
41,1," ""STEPHANIE"""," ""MITCHELL"""," ""STEPHANIE.MITCHELL@sakilacustomer.org""",45,1,"{""customer_id"":41,""store_id"":1,""first_name"": ""STEPHANIE"",""last_name"": ""MITCHELL"",""email"": ""STEPHANIE.MITCHELL@sakilacustomer.org"",""address_id"":45,""active"":1},"
42,2," ""CAROLYN"""," ""PEREZ"""," ""CAROLYN.PEREZ@sakilacustomer.org""",46,1,"{""customer_id"":42,""store_id"":2,""first_name"": ""CAROLYN"",""last_name"": ""PEREZ"",""email"": ""CAROLYN.PEREZ@sakilacustomer.org"",""address_id"":46,""active"":1},"
43,2," ""CHRISTINE"""," ""ROBERTS"""," ""CHRISTINE.ROBERTS@sakilacustomer.org""",47,1,"{""customer_id"":43,""store_id"":2,""first_name"": ""CHRISTINE"",""last_name"": ""ROBERTS"",""email"": ""CHRISTINE.ROBERTS@sakilacustomer.org"",""address_id"":47,""active"":1},"
44,1," ""MARIE"""," ""TURNER"""," ""MARIE.TURNER@sakilacustomer.org""",48,1,"{""customer_id"":44,""store_id"":1,""first_name"": ""MARIE"",""last_name"": ""TURNER"",""email"": ""MARIE.TURNER@sakilacustomer.org"",""address_id"":48,""active"":1},"
45,1," ""JANET"""," ""PHILLIPS"""," ""JANET.PHILLIPS@sakilacustomer.org""",49,1,"{""customer_id"":45,""store_id"":1,""first_name"": ""JANET"",""last_name"": ""PHILLIPS"",""email"": ""JANET.PHILLIPS@sakilacustomer.org"",""address_id"":49,""active"":1},"
46,2," ""CATHERINE"""," ""CAMPBELL"""," ""CATHERINE.CAMPBELL@sakilacustomer.org""",50,1,"{""customer_id"":46,""store_id"":2,""first_name"": ""CATHERINE"",""last_name"": ""CAMPBELL"",""email"": ""CATHERINE.CAMPBELL@sakilacustomer.org"",""address_id"":50,""active"":1},"
47,1," ""FRANCES"""," ""PARKER"""," ""FRANCES.PARKER@sakilacustomer.org""",51,1,"{""customer_id"":47,""store_id"":1,""first_name"": ""FRANCES"",""last_name"": ""PARKER"",""email"": ""FRANCES.PARKER@sakilacustomer.org"",""address_id"":51,""active"":1},"
48,1," ""ANN"""," ""EVANS"""," ""ANN.EVANS@sakilacustomer.org""",52,1,"{""customer_id"":48,""store_id"":1,""first_name"": ""ANN"",""last_name"": ""EVANS"",""email"": ""ANN.EVANS@sakilacustomer.org"",""address_id"":52,""active"":1},"
49,2," ""JOYCE"""," ""EDWARDS"""," ""JOYCE.EDWARDS@sakilacustomer.org""",53,1,"{""customer_id"":49,""store_id"":2,""first_name"": ""JOYCE"",""last_name"": ""EDWARDS"",""email"": ""JOYCE.EDWARDS@sakilacustomer.org"",""address_id"":53,""active"":1},"
50,1," ""DIANE"""," ""COLLINS"""," ""DIANE.COLLINS@sakilacustomer.org""",54,1,"{""customer_id"":50,""store_id"":1,""first_name"": ""DIANE"",""last_name"": ""COLLINS"",""email"": ""DIANE.COLLINS@sakilacustomer.org"",""address_id"":54,""active"":1},"
51,1," ""ALICE"""," ""STEWART"""," ""ALICE.STEWART@sakilacustomer.org""",55,1,"{""customer_id"":51,""store_id"":1,""first_name"": ""ALICE"",""last_name"": ""STEWART"",""email"": ""ALICE.STEWART@sakilacustomer.org"",""address_id"":55,""active"":1},"
52,1," ""JULIE"""," ""SANCHEZ"""," ""JULIE.SANCHEZ@sakilacustomer.org""",56,1,"{""customer_id"":52,""store_id"":1,""first_name"": ""JULIE"",""last_name"": ""SANCHEZ"",""email"": ""JULIE.SANCHEZ@sakilacustomer.org"",""address_id"":56,""active"":1},"
53,1," ""HEATHER"""," ""MORRIS"""," ""HEATHER.MORRIS@sakilacustomer.org""",57,1,"{""customer_id"":53,""store_id"":1,""first_name"": ""HEATHER"",""last_name"": ""MORRIS"",""email"": ""HEATHER.MORRIS@sakilacustomer.org"",""address_id"":57,""active"":1},"
54,1," ""TERESA"""," ""ROGERS"""," ""TERESA.ROGERS@sakilacustomer.org""",58,1,"{""customer_id"":54,""store_id"":1,""first_name"": ""TERESA"",""last_name"": ""ROGERS"",""email"": ""TERESA.ROGERS@sakilacustomer.org"",""address_id"":58,""active"":1},"
55,2," ""DORIS"""," ""REED"""," ""DORIS.REED@sakilacustomer.org""",59,1,"{""customer_id"":55,""store_id"":2,""first_name"": ""DORIS"",""last_name"": ""REED"",""email"": ""DORIS.REED@sakilacustomer.org"",""address_id"":59,""active"":1},"
56,1," ""GLORIA"""," ""COOK"""," ""GLORIA.COOK@sakilacustomer.org""",60,1,"{""customer_id"":56,""store_id"":1,""first_name"": ""GLORIA"",""last_name"": ""COOK"",""email"": ""GLORIA.COOK@sakilacustomer.org"",""address_id"":60,""active"":1},"
57,2," ""EVELYN"""," ""MORGAN"""," ""EVELYN.MORGAN@sakilacustomer.org""",61,1,"{""customer_id"":57,""store_id"":2,""first_name"": ""EVELYN"",""last_name"": ""MORGAN"",""email"": ""EVELYN.MORGAN@sakilacustomer.org"",""address_id"":61,""active"":1},"
58,1," ""JEAN"""," ""BELL"""," ""JEAN.BELL@sakilacustomer.org""",62,1,"{""customer_id"":58,""store_id"":1,""first_name"": ""JEAN"",""last_name"": ""BELL"",""email"": ""JEAN.BELL@sakilacustomer.org"",""address_id"":62,""active"":1},"
59,1," ""CHERYL"""," ""MURPHY"""," ""CHERYL.MURPHY@sakilacustomer.org""",63,1,"{""customer_id"":59,""store_id"":1,""first_name"": ""CHERYL"",""last_name"": ""MURPHY"",""email"": ""CHERYL.MURPHY@sakilacustomer.org"",""address_id"":63,""active"":1},"
60,1," ""MILDRED"""," ""BAILEY"""," ""MILDRED.BAILEY@sakilacustomer.org""",64,1,"{""customer_id"":60,""store_id"":1,""first_name"": ""MILDRED"",""last_name"": ""BAILEY"",""email"": ""MILDRED.BAILEY@sakilacustomer.org"",""address_id"":64,""active"":1},"
61,2," ""KATHERINE"""," ""RIVERA"""," ""KATHERINE.RIVERA@sakilacustomer.org""",65,1,"{""customer_id"":61,""store_id"":2,""first_name"": ""KATHERINE"",""last_name"": ""RIVERA"",""email"": ""KATHERINE.RIVERA@sakilacustomer.org"",""address_id"":65,""active"":1},"
62,1," ""JOAN"""," ""COOPER"""," ""JOAN.COOPER@sakilacustomer.org""",66,1,"{""customer_id"":62,""store_id"":1,""first_name"": ""JOAN"",""last_name"": ""COOPER"",""email"": ""JOAN.COOPER@sakilacustomer.org"",""address_id"":66,""active"":1},"
63,1," ""ASHLEY"""," ""RICHARDSON"""," ""ASHLEY.RICHARDSON@sakilacustomer.org""",67,1,"{""customer_id"":63,""store_id"":1,""first_name"": ""ASHLEY"",""last_name"": ""RICHARDSON"",""email"": ""ASHLEY.RICHARDSON@sakilacustomer.org"",""address_id"":67,""active"":1},"
64,2," ""JUDITH"""," ""COX"""," ""JUDITH.COX@sakilacustomer.org""",68,0,"{""customer_id"":64,""store_id"":2,""first_name"": ""JUDITH"",""last_name"": ""COX"",""email"": ""JUDITH.COX@sakilacustomer.org"",""address_id"":68,""active"":0},"
65,2," ""ROSE"""," ""HOWARD"""," ""ROSE.HOWARD@sakilacustomer.org""",69,1,"{""customer_id"":65,""store_id"":2,""first_name"": ""ROSE"",""last_name"": ""HOWARD"",""email"": ""ROSE.HOWARD@sakilacustomer.org"",""address_id"":69,""active"":1},"
66,2," ""JANICE"""," ""WARD"""," ""JANICE.WARD@sakilacustomer.org""",70,1,"{""customer_id"":66,""store_id"":2,""first_name"": ""JANICE"",""last_name"": ""WARD"",""email"": ""JANICE.WARD@sakilacustomer.org"",""address_id"":70,""active"":1},"
67,1," ""KELLY"""," ""TORRES"""," ""KELLY.TORRES@sakilacustomer.org""",71,1,"{""customer_id"":67,""store_id"":1,""first_name"": ""KELLY"",""last_name"": ""TORRES"",""email"": ""KELLY.TORRES@sakilacustomer.org"",""address_id"":71,""active"":1},"
68,1," ""NICOLE"""," ""PETERSON"""," ""NICOLE.PETERSON@sakilacustomer.org""",72,1,"{""customer_id"":68,""store_id"":1,""first_name"": ""NICOLE"",""last_name"": ""PETERSON"",""email"": ""NICOLE.PETERSON@sakilacustomer.org"",""address_id"":72,""active"":1},"
69,2," ""JUDY"""," ""GRAY"""," ""JUDY.GRAY@sakilacustomer.org""",73,1,"{""customer_id"":69,""store_id"":2,""first_name"": ""JUDY"",""last_name"": ""GRAY"",""email"": ""JUDY.GRAY@sakilacustomer.org"",""address_id"":73,""active"":1},"
70,2," ""CHRISTINA"""," ""RAMIREZ"""," ""CHRISTINA.RAMIREZ@sakilacustomer.org""",74,1,"{""customer_id"":70,""store_id"":2,""first_name"": ""CHRISTINA"",""last_name"": ""RAMIREZ"",""email"": ""CHRISTINA.RAMIREZ@sakilacustomer.org"",""address_id"":74,""active"":1},"
71,1," ""KATHY"""," ""JAMES"""," ""KATHY.JAMES@sakilacustomer.org""",75,1,"{""customer_id"":71,""store_id"":1,""first_name"": ""KATHY"",""last_name"": ""JAMES"",""email"": ""KATHY.JAMES@sakilacustomer.org"",""address_id"":75,""active"":1},"
72,2," ""THERESA"""," ""WATSON"""," ""THERESA.WATSON@sakilacustomer.org""",76,1,"{""customer_id"":72,""store_id"":2,""first_name"": ""THERESA"",""last_name"": ""WATSON"",""email"": ""THERESA.WATSON@sakilacustomer.org"",""address_id"":76,""active"":1},"
73,2," ""BEVERLY"""," ""BROOKS"""," ""BEVERLY.BROOKS@sakilacustomer.org""",77,1,"{""customer_id"":73,""store_id"":2,""first_name"": ""BEVERLY"",""last_name"": ""BROOKS"",""email"": ""BEVERLY.BROOKS@sakilacustomer.org"",""address_id"":77,""active"":1},"
74,1," ""DENISE"""," ""KELLY"""," ""DENISE.KELLY@sakilacustomer.org""",78,1,"{""customer_id"":74,""store_id"":1,""first_name"": ""DENISE"",""last_name"": ""KELLY"",""email"": ""DENISE.KELLY@sakilacustomer.org"",""address_id"":78,""active"":1},"
75,2," ""TAMMY"""," ""SANDERS"""," ""TAMMY.SANDERS@sakilacustomer.org""",79,1,"{""customer_id"":75,""store_id"":2,""first_name"": ""TAMMY"",""last_name"": ""SANDERS"",""email"": ""TAMMY.SANDERS@sakilacustomer.org"",""address_id"":79,""active"":1},"
76,2," ""IRENE"""," ""PRICE"""," ""IRENE.PRICE@sakilacustomer.org""",80,1,"{""customer_id"":76,""store_id"":2,""first_name"": ""IRENE"",""last_name"": ""PRICE"",""email"": ""IRENE.PRICE@sakilacustomer.org"",""address_id"":80,""active"":1},"
77,2," ""JANE"""," ""BENNETT"""," ""JANE.BENNETT@sakilacustomer.org""",81,1,"{""customer_id"":77,""store_id"":2,""first_name"": ""JANE"",""last_name"": ""BENNETT"",""email"": ""JANE.BENNETT@sakilacustomer.org"",""address_id"":81,""active"":1},"
78,1," ""LORI"""," ""WOOD"""," ""LORI.WOOD@sakilacustomer.org""",82,1,"{""customer_id"":78,""store_id"":1,""first_name"": ""LORI"",""last_name"": ""WOOD"",""email"": ""LORI.WOOD@sakilacustomer.org"",""address_id"":82,""active"":1},"
79,1," ""RACHEL"""," ""BARNES"""," ""RACHEL.BARNES@sakilacustomer.org""",83,1,"{""customer_id"":79,""store_id"":1,""first_name"": ""RACHEL"",""last_name"": ""BARNES"",""email"": ""RACHEL.BARNES@sakilacustomer.org"",""address_id"":83,""active"":1},"
80,1," ""MARILYN"""," ""ROSS"""," ""MARILYN.ROSS@sakilacustomer.org""",84,1,"{""customer_id"":80,""store_id"":1,""first_name"": ""MARILYN"",""last_name"": ""ROSS"",""email"": ""MARILYN.ROSS@sakilacustomer.org"",""address_id"":84,""active"":1},"
81,1," ""ANDREA"""," ""HENDERSON"""," ""ANDREA.HENDERSON@sakilacustomer.org""",85,1,"{""customer_id"":81,""store_id"":1,""first_name"": ""ANDREA"",""last_name"": ""HENDERSON"",""email"": ""ANDREA.HENDERSON@sakilacustomer.org"",""address_id"":85,""active"":1},"
82,1," ""KATHRYN"""," ""COLEMAN"""," ""KATHRYN.COLEMAN@sakilacustomer.org""",86,1,"{""customer_id"":82,""store_id"":1,""first_name"": ""KATHRYN"",""last_name"": ""COLEMAN"",""email"": ""KATHRYN.COLEMAN@sakilacustomer.org"",""address_id"":86,""active"":1},"
83,1," ""LOUISE"""," ""JENKINS"""," ""LOUISE.JENKINS@sakilacustomer.org""",87,1,"{""customer_id"":83,""store_id"":1,""first_name"": ""LOUISE"",""last_name"": ""JENKINS"",""email"": ""LOUISE.JENKINS@sakilacustomer.org"",""address_id"":87,""active"":1},"
84,2," ""SARA"""," ""PERRY"""," ""SARA.PERRY@sakilacustomer.org""",88,1,"{""customer_id"":84,""store_id"":2,""first_name"": ""SARA"",""last_name"": ""PERRY"",""email"": ""SARA.PERRY@sakilacustomer.org"",""address_id"":88,""active"":1},"
85,2," ""ANNE"""," ""POWELL"""," ""ANNE.POWELL@sakilacustomer.org""",89,1,"{""customer_id"":85,""store_id"":2,""first_name"": ""ANNE"",""last_name"": ""POWELL"",""email"": ""ANNE.POWELL@sakilacustomer.org"",""address_id"":89,""active"":1},"
86,2," ""JACQUELINE"""," ""LONG"""," ""JACQUELINE.LONG@sakilacustomer.org""",90,1,"{""customer_id"":86,""store_id"":2,""first_name"": ""JACQUELINE"",""last_name"": ""LONG"",""email"": ""JACQUELINE.LONG@sakilacustomer.org"",""address_id"":90,""active"":1},"
87,1," ""WANDA"""," ""PATTERSON"""," ""WANDA.PATTERSON@sakilacustomer.org""",91,1,"{""customer_id"":87,""store_id"":1,""first_name"": ""WANDA"",""last_name"": ""PATTERSON"",""email"": ""WANDA.PATTERSON@sakilacustomer.org"",""address_id"":91,""active"":1},"
88,2," ""BONNIE"""," ""HUGHES"""," ""BONNIE.HUGHES@sakilacustomer.org""",92,1,"{""customer_id"":88,""store_id"":2,""first_name"": ""BONNIE"",""last_name"": ""HUGHES"",""email"": ""BONNIE.HUGHES@sakilacustomer.org"",""address_id"":92,""active"":1},"
89,1," ""JULIA"""," ""FLORES"""," ""JULIA.FLORES@sakilacustomer.org""",93,1,"{""customer_id"":89,""store_id"":1,""first_name"": ""JULIA"",""last_name"": ""FLORES"",""email"": ""JULIA.FLORES@sakilacustomer.org"",""address_id"":93,""active"":1},"
90,2," ""RUBY"""," ""WASHINGTON"""," ""RUBY.WASHINGTON@sakilacustomer.org""",94,1,"{""customer_id"":90,""store_id"":2,""first_name"": ""RUBY"",""last_name"": ""WASHINGTON"",""email"": ""RUBY.WASHINGTON@sakilacustomer.org"",""address_id"":94,""active"":1},"
91,2," ""LOIS"""," ""BUTLER"""," ""LOIS.BUTLER@sakilacustomer.org""",95,1,"{""customer_id"":91,""store_id"":2,""first_name"": ""LOIS"",""last_name"": ""BUTLER"",""email"": ""LOIS.BUTLER@sakilacustomer.org"",""address_id"":95,""active"":1},"
92,2," ""TINA"""," ""SIMMONS"""," ""TINA.SIMMONS@sakilacustomer.org""",96,1,"{""customer_id"":92,""store_id"":2,""first_name"": ""TINA"",""last_name"": ""SIMMONS"",""email"": ""TINA.SIMMONS@sakilacustomer.org"",""address_id"":96,""active"":1},"
93,1," ""PHYLLIS"""," ""FOSTER"""," ""PHYLLIS.FOSTER@sakilacustomer.org""",97,1,"{""customer_id"":93,""store_id"":1,""first_name"": ""PHYLLIS"",""last_name"": ""FOSTER"",""email"": ""PHYLLIS.FOSTER@sakilacustomer.org"",""address_id"":97,""active"":1},"
94,1," ""NORMA"""," ""GONZALES"""," ""NORMA.GONZALES@sakilacustomer.org""",98,1,"{""customer_id"":94,""store_id"":1,""first_name"": ""NORMA"",""last_name"": ""GONZALES"",""email"": ""NORMA.GONZALES@sakilacustomer.org"",""address_id"":98,""active"":1},"
95,2," ""PAULA"""," ""BRYANT"""," ""PAULA.BRYANT@sakilacustomer.org""",99,1,"{""customer_id"":95,""store_id"":2,""first_name"": ""PAULA"",""last_name"": ""BRYANT"",""email"": ""PAULA.BRYANT@sakilacustomer.org"",""address_id"":99,""active"":1},"
